Price,Location,Surface
1 800 €,Esch-sur-Alzette,64 m²
1 800 €,Luxembourg-Kirchberg,43 m²
2 600 €,Luxembourg-Neudorf,110 m²
1 800 €,Contern,75 m²
2 650 €,Luxembourg-Cents,90 m²
2 850 €,Itzig,105 m²
2 600 €,Luxembourg-Gasperich - Cloche d'or,100 m²
3 350 €,Mamer,135 m²
2 500 €,Luxembourg-Cessange,96 m²
3 200 €,Luxembourg-Belair,N/A
1 900 €,Luxembourg-Limpertsberg,N/A
1 800 €,Luxembourg-Cessange,N/A
3 300 €,Luxembourg-Belair,N/A
1 900 €,Luxembourg-Bonnevoie,64 m²
1 450 €,Belvaux,46 m²
2 600 €,Capellen,91 m²
1 750 €,Luxembourg-Limpertsberg,30 m²
1 750 €,Luxembourg-Limpertsberg,30 m²
2 250 €,Dudelange,100 m²
2 350 €,Dudelange,104 m²
5 300 €,Luxembourg-Dommeldange,77 m²
3 900 €,Luxembourg-Centre ville,98 m²
1 900 €,Luxembourg-Beggen,78 m²
1 590 €,Dippach,66 m²
1 800 €,Bridel,48 m²
2 700 €,Luxembourg-Merl,127 m²
2 500 €,Luxembourg-Muhlenbach,115 m²
1 700 €,Pétange,52 m²
1 800 €,Luxembourg-Hollerich,33 m²
3 900 €,Luxembourg-Limpertsberg,95 m²
3 900 €,Luxembourg-Gasperich - Cloche d'or,98 m²
2 195 €,Luxembourg-Clausen,30 m²
2 200 €,Luxembourg-Belair,53 m²
2 450 €,Luxembourg-Belair,50 m²
1 650 €,Luxembourg-Limpertsberg,30 m²
1 650 €,Luxembourg-Centre Ville,40 m²
2 250 €,Luxembourg-Centre Ville,70 m²
1 650 €,Luxembourg-Gasperich - Cloche d'or,45 m²
2 200 €,Luxembourg-Belair,70 m²
1 660 €,Bertrange,40 m²
1 600 €,Luxembourg-Gasperich - Cloche d'or,45 m²
1 600 €,Luxembourg-Gasperich - Cloche d'or,45 m²
2 550 €,Luxembourg-Centre Ville,60 m²
1 000 €,Bereldange,12 m²
3 500 €,Luxembourg-Belair,90 m²
1 200 €,Luxembourg-Gasperich - Cloche d'or,18 m²
1 700 €,Luxembourg-Kirchberg,65 m²
1 650 €,Luxembourg-Limpertsberg,40 m²
2 620 €,Strassen,90 m²
1 200 €,Luxembourg-Centre ville,120 m²
1 250 €,Luxembourg-Limpertsberg,25 m²
2 600 €,Luxembourg-Belair,60 m²
1 200 €,Luxembourg-Gasperich - Cloche d'or,18 m²
1 650 €,Luxembourg-Limpertsberg,40 m²
2 200 €,Luxembourg-Belair,70 m²
1 660 €,Bertrange,40 m²
1 600 €,Luxembourg-Gasperich - Cloche d'or,45 m²
1 600 €,Luxembourg-Gasperich - Cloche d'or,45 m²
1 650 €,Luxembourg-Centre Ville,40 m²
2 250 €,Luxembourg-Centre Ville,70 m²
1 650 €,Luxembourg-Limpertsberg,30 m²
2 550 €,Luxembourg-Centre Ville,60 m²
1 200 €,Luxembourg-Centre ville,120 m²
1 250 €,Luxembourg-Limpertsberg,25 m²
1 650 €,Luxembourg-Gasperich - Cloche d'or,50 m²
2 450 €,Luxembourg-Belair,50 m²
2 800 €,Luxembourg-Kirchberg,90 m²
1 650 €,Luxembourg-Centre ville,30 m²
3 300 €,Luxembourg-Kirchberg,90 m²
5 670 €,Luxembourg-Belair,200 m²
1 200 €,Luxembourg-Limpertsberg,16 m²
1 980 €,Luxembourg-Limpertsberg,50 m²
2 660 €,Luxembourg-Merl,90 m²
5 300 €,Luxembourg-Centre ville,200 m²
1 900 €,Luxembourg-Belair,45 m²
2 450 €,Luxembourg-Belair,50 m²
1 100 €,Luxembourg-Centre ville,20 m²
2 000 €,Luxembourg-Belair,60 m²
2 400 €,Luxembourg-Limpertsberg,70 m²
2 400 €,Luxembourg-Belair,70 m²
1 200 €,Luxembourg-Limpertsberg,25 m²
2 450 €,Luxembourg-Dommeldange,110 m²
2 450 €,Luxembourg-Centre Ville,75 m²
2 620 €,Strassen,90 m²
1 050 €,Luxembourg-Limpertsberg,15 m²
1 650 €,Luxembourg-Centre ville,45 m²
2 550 €,Luxembourg-Eich,83 m²
5 200 €,Luxembourg-Gasperich - Cloche d'or,251 m²
2 300 €,Luxembourg-Dommeldange,77 m²
1 400 €,Esch-sur-Alzette,38 m²
3 900 €,Bertrange,118 m²
3 900 €,Bertrange,129 m²
6 600 €,Bertrange,207 m²
6 700 €,Bertrange,209 m²
6 500 €,Bertrange,206 m²
3 900 €,Bertrange,129 m²
1 450 €,Esch-sur-Alzette,34 m²
1 600 €,Esch-sur-Alzette,64 m²
1 550 €,Esch-sur-Alzette,47 m²
1 500 €,Esch-sur-Alzette,40 m²
1 650 €,Esch-sur-Alzette,66 m²
2 200 €,Esch-sur-Alzette,94 m²
2 250 €,Dudelange,95 m²
2 600 €,Luxembourg-Belair,90 m²
2 300 €,Luxembourg-Centre Ville,85 m²
1 800 €,Luxembourg-Gasperich - Cloche d'or,40 m²
1 900 €,Luxembourg-Clausen,30 m²
2 080 €,Kayl,63 m²
1 700 €,Luxembourg-Kirchberg,25 m²
1 200 €,Luxembourg-Limpertsberg,20 m²
1 700 €,Luxembourg-Kirchberg,25 m²
1 700 €,Luxembourg-Kirchberg,25 m²
2 600 €,Luxembourg-Gare,80 m²
2 300 €,Luxembourg-Centre Ville,90 m²
1 000 €,Luxembourg-Belair,15 m²
2 200 €,Strassen,90 m²
2 150 €,Luxembourg-Belair,90 m²
1 000 €,Luxembourg-Belair,16 m²
2 400 €,Luxembourg-Kirchberg,80 m²
1 200 €,Luxembourg-Centre Ville,30 m²
1 650 €,Strassen,35 m²
1 200 €,Luxembourg-Rollingergrund,18 m²
1 300 €,Luxembourg-Belair,35 m²
1 150 €,Bereldange,18 m²
1 250 €,Luxembourg-Centre ville,20 m²
1 200 €,Luxembourg-Centre ville,14 m²
3 000 €,Luxembourg-Centre ville,70 m²
1 050 €,Luxembourg-Centre ville,15 m²
2 400 €,Luxembourg-Centre ville,70 m²
5 000 €,Luxembourg-Centre ville,230 m²
1 200 €,Luxembourg-Limpertsberg,20 m²
2 700 €,Luxembourg-Belair,90 m²
1 300 €,Luxembourg-Belair,18 m²
1 200 €,Luxembourg-Centre Ville,18 m²
2 500 €,Luxembourg-Centre ville,90 m²
1 350 €,Luxembourg-Centre Ville,20 m²
1 850 €,Luxembourg-Belair,70 m²
1 600 €,Luxembourg-Centre Ville,35 m²
1 200 €,Luxembourg-Belair,20 m²
1 600 €,Luxembourg-Centre ville,45 m²
1 200 €,Luxembourg-Centre ville,18 m²
1 000 €,Luxembourg-Cessange,12 m²
1 100 €,Luxembourg-Belair,15 m²
1 650 €,Luxembourg-Limpertsberg,40 m²
1 500 €,Luxembourg-Centre ville,45 m²
1 150 €,Luxembourg-Belair,18 m²
1 300 €,Luxembourg-Centre Ville,20 m²
950 €,Luxembourg-Centre Ville,11 m²
1 700 €,Luxembourg-Kirchberg,25 m²
1 300 €,Luxembourg-Belair,30 m²
950 €,Luxembourg-Centre Ville,12 m²
1 600 €,Luxembourg-Centre Ville,40 m²
1 300 €,Luxembourg-Centre Ville,40 m²
1 300 €,Luxembourg-Merl,18 m²
900 €,Esch-sur-Alzette,14 m²
1 200 €,Luxembourg-Centre ville,30 m²
1 300 €,Luxembourg-Belair,30 m²
2 700 €,Luxembourg-Belair,90 m²
1 200 €,Luxembourg-Belair,18 m²
1 250 €,Luxembourg-Centre ville,18 m²
1 800 €,Luxembourg-Centre Ville,60 m²
1 300 €,Luxembourg-Belair,20 m²
1 300 €,Luxembourg-Belair,30 m²
1 250 €,Luxembourg-Centre ville,25 m²
1 150 €,Luxembourg-Centre ville,25 m²
1 200 €,Luxembourg-Belair,20 m²
1 650 €,Luxembourg-Centre Ville,40 m²
1 900 €,Luxembourg-Centre Ville,65 m²
1 000 €,Luxembourg-Centre ville,12 m²
1 300 €,Luxembourg-Belair,30 m²
1 000 €,Luxembourg-Centre ville,18 m²
1 150 €,Luxembourg-Centre ville,18 m²
1 000 €,Luxembourg-Centre ville,14 m²
1 900 €,Luxembourg-Kirchberg,60 m²
1 600 €,Luxembourg-Centre ville,40 m²
1 850 €,Luxembourg-Belair,70 m²
1 200 €,Luxembourg-Centre Ville,18 m²
1 200 €,Luxembourg-Belair,20 m²
1 600 €,Luxembourg-Centre ville,45 m²
1 200 €,Luxembourg-Limpertsberg,25 m²
2 400 €,Luxembourg-Kirchberg,80 m²
2 350 €,Luxembourg-Centre ville,70 m²
3 200 €,Luxembourg-Belair,130 m²
1 150 €,Luxembourg-Centre ville,20 m²
1 000 €,Luxembourg-Centre ville,15 m²
2 400 €,Luxembourg-Kirchberg,80 m²
1 200 €,Luxembourg-Centre Ville,30 m²
1 250 €,Bereldange,25 m²
1 650 €,Strassen,35 m²
1 200 €,Luxembourg-Rollingergrund,18 m²
1 300 €,Luxembourg-Belair,35 m²
1 150 €,Bereldange,18 m²
1 250 €,Luxembourg-Centre ville,20 m²
1 050 €,Luxembourg-Centre ville,15 m²
2 400 €,Luxembourg-Centre ville,70 m²
5 000 €,Luxembourg-Centre ville,230 m²
1 200 €,Luxembourg-Limpertsberg,20 m²
2 700 €,Luxembourg-Belair,90 m²
1 150 €,Luxembourg-Belair,17 m²
1 250 €,Luxembourg-Centre Ville,20 m²
2 500 €,Luxembourg-Centre ville,90 m²
1 350 €,Luxembourg-Centre Ville,20 m²
2 400 €,Luxembourg-Centre Ville,75 m²
1 650 €,Luxembourg-Centre Ville,35 m²
1 600 €,Luxembourg-Centre Ville,35 m²
1 300 €,Luxembourg-Belair,18 m²
1 600 €,Luxembourg-Gare,40 m²
6 500 €,Bertrange,195 m²
1 250 €,Grevenmacher,43 m²
1 790 €,Bertrange,53 m²
3 000 €,Frisange,160 m²
3 500 €,Capellen,140 m²
2 400 €,Luxembourg-Bonnevoie,N/A
1 900 €,Tuntange,125 m²
1 800 €,Belval,53 m²
3 200 €,Esch-sur-Alzette,244 m²
1 550 €,Aspelt,63 m²
2 150 €,Luxembourg-Limpertsberg,47 m²
5 500 €,Luxembourg-Limpertsberg,253 m²
1 200 €,Luxembourg-Limpertsberg,140 m²
950 €,Luxembourg-Bonnevoie,14 m²
1 200 €,Luxembourg-Belair,220 m²
1 000 €,Luxembourg-Belair,17 m²
1 250 €,Luxembourg-Centre Ville,30 m²
1 600 €,Luxembourg-Centre ville,45 m²
950 €,Luxembourg-Centre Ville,12 m²
1 800 €,Luxembourg-Centre Ville,75 m²
1 200 €,Luxembourg-Belair,12 m²
1 500 €,Luxembourg-Belair,30 m²
1 650 €,Luxembourg-Centre Ville,40 m²
1 800 €,Limpach,70 m²
2 100 €,Remich,100 m²
1 500 €,Differdange,53 m²
1 500 €,Esch-sur-Alzette,71 m²
3 000 €,Strassen,86 m²
1 350 €,Differdange,32 m²
3 900 €,Luxembourg-Merl,126 m²
1 600 €,Niederkorn,60 m²
2 100 €,Rodange,106 m²
1 500 €,Pétange,42 m²
1 500 €,Pétange,53 m²
1 800 €,Bereldange,60 m²
1 900 €,Luxembourg-Gasperich - Cloche d'or,61 m²
2 200 €,Bereldange,75 m²
2 950 €,Luxembourg-Belair,95 m²
3 000 €,Hesperange,112 m²
2 750 €,Luxembourg-Kirchberg,67 m²
3 400 €,Luxembourg-Bonnevoie,150 m²
1 500 €,Belval,52 m²
2 100 €,Luxembourg-Belair,90 m²
1 850 €,Luxembourg-Cents,66 m²
2 250 €,Mamer,79 m²
2 200 €,Luxembourg-Centre ville,94 m²
2 350 €,Luxembourg-Dommeldange,97 m²
950 €,Belvaux,N/A
2 500 €,Luxembourg-Belair,89 m²
2 400 €,Luxembourg-Belair,60 m²
1 750 €,Walferdange,45 m²
2 400 €,Remich,65 m²
1 700 €,Luxembourg-Hollerich,39 m²
2 300 €,Luxembourg-Kirchberg,51 m²
1 900 €,Goeblange,104 m²
1 750 €,Steinfort,77 m²
1 850 €,Ettelbruck,96 m²
1 500 €,Niederkorn,60 m²
1 700 €,Moutfort,55 m²
2 000 €,Luxembourg-Belair,75 m²
2 800 €,Luxembourg-Centre ville,80 m²
1 700 €,Esch-sur-Alzette,51 m²
2 450 €,Luxembourg-Hollerich,84 m²
2 000 €,Luxembourg-Centre ville,42 m²
2 200 €,Luxembourg-Centre ville,66 m²
1 600 €,Luxembourg-Centre ville,30 m²
3 200 €,Strassen,120 m²
2 100 €,Esch-sur-Alzette,76 m²
2 050 €,Luxembourg-Cessange,47 m²
1 900 €,Luxembourg-Centre ville,51 m²
1 300 €,Differdange,52 m²
2 500 €,Luxembourg-Centre ville,83 m²
1 750 €,Luxembourg-Hollerich,47 m²
2 750 €,Luxembourg-Grund,85 m²
